db_file,table_name,id,zh,en,vi
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_16,啊对，{PlayerName}还没入学……所以还没拿到磁带……,"Ah, right! {PlayerName} hasn't officially enrolled yet, so {Male=his;Female=her} Cassette hasn't been assigned yet...","À đúng rồi, {PlayerName} chưa nhập học... nên chưa nhận được Băng Từ..."
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_17,还是第一次见到还没入学就先往医务室报到的学生呢……不过没关系，检查现在开始——,"My, my... First time I've seen a student visit the infirmary before even enrolling. But don't worry, we'll start the examination right away.","Lần đầu tiên thấy học sinh chưa nhập học đã đến phòng y tế báo danh đấy... nhưng không sao, bắt đầu kiểm tra nào..."
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_18,生命体征扫描启动——体温正常，拉贝尔波形稳定，检测到轻微擦伤……,Vital scan initiated—temperature normal. Rabelle waveform stable. Minor scratches detected...,"Bắt đầu quét dấu hiệu sự sống... Thân nhiệt bình thường, sóng Rabelle ổn định, phát hiện vết trầy xước nhẹ..."
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_19,只是轻微擦伤？,Just minor scratches?,Chỉ là trầy xước nhẹ?
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_2,N.A.N.A.女士，这样会吓到新同学的哦？,"Nurse N.A.N.A., you're going to creep out our precious new student.","Cô N.A.N.A., làm vậy sẽ dọa bạn học mới sợ đấy?"
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_20,是的，我身子骨很硬朗。,My bones don't break easily.,"Đúng vậy, xương cốt tôi cứng cáp lắm."
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_21,刚才摸了一下信标已经完全恢复了。,"I touched a Beacon earlier, so I'm completely healed.",Vừa chạm vào Tín Hiệu đã hồi phục hoàn toàn rồi.
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_22,嗯……既然N.A.N.A.女士都这么说了……,"Well, if Nurse N.A.N.A. says so...",Ừm... Nếu cô N.A.N.A. đã nói vậy...
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_23,……嗯？这是一种比喻或者玩笑吗？,...Hm? Was that a joke or a metaphor?,...Hả? Đây là một cách ẩn dụ hay nói đùa vậy?
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_24,检测到轻度频率流失……以及轻度虚质磁暴波形残留，你们刚才去了哪？,Mild frequency loss and residual Void Storm waveform detected. Where exactly have you two been?,"Phát hiện tần số bị mất nhẹ... và tàn dư sóng Bão Từ Hư Không mức độ nhẹ, hai người vừa đi đâu vậy?"
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_25,（简单叙述频率流失症状与遭遇虚诞虫的经过）,(Briefly explain the symptoms of frequency draining and your encounter with the Voidworm.),(Kể sơ lược về triệu chứng mất tần số và quá trình chạm trán Hư Đản Trùng)
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_26,我明白了……{PlayerName}，请跟我来。,"I see... {PlayerName}, please follow me this way.","Tôi hiểu rồi... {PlayerName}, mời đi theo tôi."
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_27,小琳奈，你还不回去上课吗？,"Little Lynae, aren't you going back to class?","Bé Lynae, em vẫn chưa về lớp học à?"
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_28,嗯……我想在这里等检查结果出来。,Oh... I want to stay until the results are out.,Dạ... em muốn đợi ở đây đến khi có kết quả kiểm tra.
lang_multi_text.db,MultiText,Main_LahaiRoi_3_1_14_29,放心吧，我已经通知了赫斯医生，他刚刚结束出诊，很快就会回来。,Don't worry. I've already informed Dr. Herssen. He just finished his rounds and will be back shortly.,"Yên tâm đi, tôi đã báo cho bác sĩ Herssen rồi, ông ấy vừa kết thúc chuyến thăm khám, sẽ về ngay thôi."
