db_file,table_name,id,zh,en,vi
lang_multi_text.db,MultiText,Raid_57_Chanllenge_1,节点目标一：挑战中战斗等级到达SS,Goal 1: Reach Battle Rank SS,Mục tiêu 1: Cấp Chiến Đấu trong khiêu chiến đạt SS
lang_multi_text.db,MultiText,Raid_57_Chanllenge_2,节点目标二：用逆势回击直接击败欺诈奇藏2次,Goal 2: Use Counterattacks to defeat 2 Chest Mimics,Mục tiêu 2: Dùng Phản Kích đánh bại trực tiếp Rương Báu Giả 2 lần
lang_multi_text.db,MultiText,Raid_57_Chanllenge_3,节点目标三：挑战中没有角色死亡,Goal 3: No Resonators are downed during the challenge,Mục tiêu 3: Không có nhân vật nào tử vong trong khiêu chiến
lang_multi_text.db,MultiText,Raid_58_Chanllenge_1,节点目标一：挑战结束时的战斗等级达到S,Goal 1: Be at Battle Rank S when the challenge ends,Mục tiêu 1: Cấp Chiến Đấu khi kết thúc khiêu chiến đạt S
lang_multi_text.db,MultiText,Raid_58_Chanllenge_2,节点目标二：使碎獠猪撞击障碍物而眩晕2次,Goal 2: Stun Sabyr Boars by making them run into obstacles 2 times,Mục tiêu 2: Khiến Heo Rừng Nanh Vỡ húc vào chướng ngại vật và bị choáng 2 lần
lang_multi_text.db,MultiText,Raid_58_Chanllenge_3,节点目标三：完成6次成功闪避,Goal 3: Perform 6 Dodges,Mục tiêu 3: Hoàn thành 6 lần Né Tránh thành công
lang_multi_text.db,MultiText,Raid_59_Chanllenge_1,节点目标一：梦境枢纽不被摧毁,Goal 1: Save the Dreamscape Nexus from destruction,Mục tiêu 1: Cốt Lõi Mộng Cảnh không bị phá hủy
lang_multi_text.db,MultiText,Raid_59_Chanllenge_2,节点目标二：梦境枢纽完整度大于30%,Goal 2: Keep the Dreamscape Nexus Integrity above 30%,Mục tiêu 2: Độ nguyên vẹn của Cốt Lõi Mộng Cảnh lớn hơn 30%
lang_multi_text.db,MultiText,Raid_59_Chanllenge_3,节点目标三：梦境枢纽完整度大于60%,Goal 3: Keep the Dreamscape Nexus Integrity above 60%,Mục tiêu 3: Độ nguyên vẹn của Cốt Lõi Mộng Cảnh lớn hơn 60%
lang_multi_text.db,MultiText,Raid_60_Chanllenge_1,节点目标一：战斗等级达到S的时间多于10秒,Goal 1: Reach Battle Rank S for more than 10s,Mục tiêu 1: Thời gian Cấp Chiến Đấu đạt S nhiều hơn 10 giây
lang_multi_text.db,MultiText,Raid_60_Chanllenge_2,节点目标二：用共鸣解放伤害击败3个敌人,Goal 2: Use Resonance Liberation DMG to defeat 3 enemies,Mục tiêu 2: Dùng sát thương Giải Phóng Cộng Hưởng đánh bại 3 kẻ địch
lang_multi_text.db,MultiText,Raid_60_Chanllenge_3,节点目标三：释放4次变奏技能,Goal 3: Cast Intro Skills 4 times,Mục tiêu 3: Thi triển 4 lần Kỹ Năng Biến Tấu
lang_multi_text.db,MultiText,Raid_61_Chanllenge_1,节点目标一：挑战中战斗等级达到SS,Goal 1: Reach Battle Rank SS,Mục tiêu 1: Cấp Chiến Đấu trong khiêu chiến đạt SS
lang_multi_text.db,MultiText,Raid_61_Chanllenge_2,节点目标二：打断幽翎火的火球蓄力3次,Goal 2: Interrupt the Fae Ignis' fireball charge 3 times,Mục tiêu 2: Ngắt tụ lực cầu lửa của Vụ Nổ U Linh 3 lần
lang_multi_text.db,MultiText,Raid_61_Chanllenge_3,节点目标三：完成4次成功闪避,Goal 3: Perform 4 Dodges,Mục tiêu 3: Hoàn thành 4 lần Né Tránh thành công
lang_multi_text.db,MultiText,Raid_62_Chanllenge_1,节点目标一：保持战斗等级在S以上连续6秒,Goal 1: Reach and maintain Battle Rank S or above for 6s,Mục tiêu 1: Duy trì Cấp Chiến Đấu trên mức S liên tục 6 giây
lang_multi_text.db,MultiText,Raid_62_Chanllenge_2,节点目标二：被魔术先生的光束命中少于8次,Goal 2: Take less than 8 laser hits from Hocus Pocus,Mục tiêu 2: Bị tia sáng của Ảo Thuật Gia đánh trúng ít hơn 8 lần
lang_multi_text.db,MultiText,Raid_62_Chanllenge_3,节点目标三：最后击败巨布偶,Goal 3: Defeat Cuddle Wuddle last,Mục tiêu 3: Đánh bại Gấu Bông Lớn cuối cùng
lang_multi_text.db,MultiText,Raid_63_Chanllenge_1,节点目标一：梦境枢纽不被摧毁,Goal 1: Save the Dreamscape Nexus from destruction,Mục tiêu 1: Cốt Lõi Mộng Cảnh không bị phá hủy
lang_multi_text.db,MultiText,Raid_63_Chanllenge_2,节点目标二：梦境枢纽完整度大于30%,Goal 2: Keep the Dreamscape Nexus Integrity above 30%,Mục tiêu 2: Độ nguyên vẹn của Cốt Lõi Mộng Cảnh lớn hơn 30%
lang_multi_text.db,MultiText,Raid_63_Chanllenge_3,节点目标三：梦境枢纽完整度大于60%,Goal 3: Keep the Dreamscape Nexus Integrity above 60%,Mục tiêu 3: Độ nguyên vẹn của Cốt Lõi Mộng Cảnh lớn hơn 60%
lang_multi_text.db,MultiText,Raid_64_Chanllenge_1,节点目标一：挑战结束时的战斗等级达到S,Goal 1: Reach Battle Rank S when the challenge ends,Mục tiêu 1: Cấp Chiến Đấu khi kết thúc khiêu chiến đạt S
