db_file,table_name,id,zh,en,vi
lang_multi_text.db,MultiText,SkillDescription_1402015_AttributeName,击飞伤害,Juggle Damage,Sát thương hất tung
lang_multi_text.db,MultiText,SkillDescription_1402015_Description,{0}秒,{0}s,{0} giây
lang_multi_text.db,MultiText,SkillDescription_1402016_AttributeName,冷却时间,Cooldown,Thời gian hồi chiêu
lang_multi_text.db,MultiText,SkillDescription_1402017_AttributeName,回复协奏能量,Concerto Regen,Hồi phục Năng Lượng Hiệp Tấu
lang_multi_text.db,MultiText,SkillDescription_1402018_AttributeName,消耗共鸣能量,Resonance Cost,Tiêu hao năng lượng Cộng Hưởng
lang_multi_text.db,MultiText,SkillDescription_1402019_AttributeName,技能伤害,Skill DMG,Sát thương kỹ năng
lang_multi_text.db,MultiText,SkillDescription_1402020_AttributeName,回复协奏能量,Concerto Regen,Hồi phục Năng Lượng Hiệp Tấu
lang_multi_text.db,MultiText,SkillDescription_1402021_AttributeName,风袭伤害,Stormy Strike Damage,Sát thương Phong Tập
lang_multi_text.db,MultiText,SkillDescription_1402022_AttributeName,释羽伤害,Feather Release Damage,Sát thương Thích Vũ
lang_multi_text.db,MultiText,SkillDescription_1402023_AttributeName,释羽回复协奏能量,Feather Release Concerto Regen,Hồi phục Năng Lượng Hiệp Tấu Thích Vũ
lang_multi_text.db,MultiText,SkillDescription_1404001_AttributeName,第一段伤害,Stage 1 DMG,Sát thương đoạn 1
lang_multi_text.db,MultiText,SkillDescription_1404002_AttributeName,第二段伤害,Stage 2 DMG,Sát thương đoạn 2
lang_multi_text.db,MultiText,SkillDescription_1404003_AttributeName,第三段伤害,Stage 3 DMG,Sát thương đoạn 3
lang_multi_text.db,MultiText,SkillDescription_1404004_AttributeName,第四段伤害,Stage 4 DMG,Sát thương đoạn 4
lang_multi_text.db,MultiText,SkillDescription_1404005_AttributeName,第五段伤害,Stage 5 DMG,Sát thương đoạn 5
lang_multi_text.db,MultiText,SkillDescription_1404006_AttributeName,重击伤害,Heavy Attack DMG,Sát thương Đánh Mạnh
lang_multi_text.db,MultiText,SkillDescription_1404007_AttributeName,重击耐力消耗,Heavy Attack STA Cost,Tiêu hao thể lực Đánh Mạnh
lang_multi_text.db,MultiText,SkillDescription_1404008_AttributeName,凌空击伤害,Windborne Strike Damage,Sát thương Lăng Không Kích
lang_multi_text.db,MultiText,SkillDescription_1404009_AttributeName,潜渊斩伤害,Abyssal Slash Damage,Sát thương Tiềm Uyên Trảm
lang_multi_text.db,MultiText,SkillDescription_1404010_AttributeName,空中攻击伤害,Mid-air Attack DMG,Sát thương tấn công trên không
lang_multi_text.db,MultiText,SkillDescription_1404011_AttributeName,空中攻击耐力消耗,Mid-air Attack STA Cost,Tiêu hao thể lực tấn công trên không
lang_multi_text.db,MultiText,SkillDescription_1404012_AttributeName,长空不坠伤害,Banner Of Triumph Damage,Sát thương Trường Không Bất Trụy
lang_multi_text.db,MultiText,SkillDescription_1404013_AttributeName,空中攻击追击伤害,Mid-air Attack Follow-Up DMG,Sát thương truy kích tấn công trên không
lang_multi_text.db,MultiText,SkillDescription_1404014_AttributeName,闪避反击伤害,Dodge Counter DMG,Sát thương phản công né tránh
lang_multi_text.db,MultiText,SkillDescription_1404015_AttributeName,技能伤害,Skill DMG,Sát thương kỹ năng
lang_multi_text.db,MultiText,SkillDescription_1404016_AttributeName,回复协奏能量,Concerto Regen,Hồi phục Năng Lượng Hiệp Tấu
lang_multi_text.db,MultiText,SkillDescription_1404017_AttributeName,冷却时间,Cooldown,Thời gian hồi chiêu
lang_multi_text.db,MultiText,SkillDescription_1404017_Description,{0}秒,{0}s,{0} giây
lang_multi_text.db,MultiText,SkillDescription_1404018_AttributeName,技能伤害,Skill DMG,Sát thương kỹ năng
lang_multi_text.db,MultiText,SkillDescription_1404018_Description,{0}秒,{0}s,{0} giây
lang_multi_text.db,MultiText,SkillDescription_1404019_AttributeName,回复协奏能量,Concerto Regen,Hồi phục Năng Lượng Hiệp Tấu
lang_multi_text.db,MultiText,SkillDescription_1404020_AttributeName,苍躣八荒·后动伤害,Emerald Storm: Finale Damage,Sát thương Thương Cù Bát Hoang - Hậu Động
lang_multi_text.db,MultiText,SkillDescription_1404021_AttributeName,破阵之枪第一段伤害,Lance of Qingloong Stage 1 DMG,Sát thương Phá Trận Chi Thương đoạn 1
lang_multi_text.db,MultiText,SkillDescription_1404022_AttributeName,破阵之枪第二段伤害,Lance Of Qingloong Stage 2 DMG,Sát thương Phá Trận Chi Thương đoạn 2
lang_multi_text.db,MultiText,SkillDescription_1404023_AttributeName,破阵之枪第三段伤害,Lance Of Qingloong Stage 3 DMG,Sát thương Phá Trận Chi Thương đoạn 3
lang_multi_text.db,MultiText,SkillDescription_1404024_AttributeName,破阵状态持续时间,Qingloong Mode Duration,Thời gian duy trì trạng thái Phá Trận
lang_multi_text.db,MultiText,SkillDescription_1404025_AttributeName,冷却时间,Cooldown,Thời gian hồi chiêu
lang_multi_text.db,MultiText,SkillDescription_1404026_AttributeName,回复协奏能量,Concerto Regen,Hồi phục Năng Lượng Hiệp Tấu
lang_multi_text.db,MultiText,SkillDescription_1404028_AttributeName,消耗共鸣能量,Resonance Cost,Tiêu hao năng lượng Cộng Hưởng
lang_multi_text.db,MultiText,SkillDescription_1404029_AttributeName,普攻第一段·破阵值,Basic Attack Stage 1: Resolve,Điểm Phá Trận Đánh Thường đoạn 1
lang_multi_text.db,MultiText,SkillDescription_1404030_AttributeName,普攻第二段·破阵值,Basic Attack Stage 2: Resolve,Điểm Phá Trận Đánh Thường đoạn 2
lang_multi_text.db,MultiText,SkillDescription_1404031_AttributeName,普攻第三段·破阵值,Basic Attack Stage 3: Resolve,Điểm Phá Trận Đánh Thường đoạn 3
lang_multi_text.db,MultiText,SkillDescription_1404032_AttributeName,普攻第四段·破阵值,Basic Attack Stage 4: Resolve,Điểm Phá Trận Đánh Thường đoạn 4
lang_multi_text.db,MultiText,SkillDescription_1404033_AttributeName,普攻第五段·破阵值,Basic Attack Stage 5: Resolve,Điểm Phá Trận Đánh Thường đoạn 5
lang_multi_text.db,MultiText,SkillDescription_1404034_AttributeName,重击·破阵值,Heavy Attack: Resolve,Điểm Phá Trận Đánh Mạnh
lang_multi_text.db,MultiText,SkillDescription_1404035_AttributeName,凌空击·破阵值,Windborne Strike: Resolve,Điểm Phá Trận Lăng Không Kích
