db_file,table_name,id,zh,en,vi
lang_multi_text.db,MultiText,EVENT_LGNDPW_20_8,真、真的吗？,Y-You sure?,"Thật, thật sao?"
lang_multi_text.db,MultiText,EVENT_LGNDPW_20_9,你们要不要也跟着我们一起晒会儿太阳？,Why don't you join us and enjoy some sunshine?,Hai người có muốn cùng chúng tôi tắm nắng một lát không?
lang_multi_text.db,MultiText,EVENT_LGNDPW_20_10,总感觉有些害怕……,It's kind of scary...,Cứ cảm thấy hơi sợ sợ...
lang_multi_text.db,MultiText,EVENT_LGNDPW_20_11,"在男生的建议下，你们三人跟慢慢一起晒了会儿太阳。
晒完太阳后，阿兰娜似乎若有所思。她跟你告别后，独自走回了城里。","By the young man's invitation, the three of you begin sunbathing with Slowy.
After getting plenty of sunshine, you see Alannah in deep thought. She then says goodbye and returns to Jinzhou on her own.","Theo lời đề nghị của chàng trai, ba người các bạn cùng Từ Từ tắm nắng một lát.
Sau khi tắm nắng xong, Alannah có vẻ đăm chiêu suy nghĩ. Cô ấy chào tạm biệt bạn rồi một mình đi về thành."
lang_multi_text.db,MultiText,EVENT_LGNDPW_20_12,感觉怎么样，是不是很舒服？,"What do you think? Felt good, didn't it?","Cảm thấy thế nào, rất thoải mái đúng không?"
lang_multi_text.db,MultiText,EVENT_LGNDPW_20_13,它的确不会伤害我们。,It doesn't mean us any harm.,Quả thực nó không làm hại chúng ta.
lang_multi_text.db,MultiText,EVENT_LGNDPW_20_14,感觉获得了内心的平静。,I have achieved inner peace.,Cảm giác tìm được sự bình yên trong tâm hồn.
lang_multi_text.db,MultiText,EVENT_LGNDPW_20_15,这样的生活也很不错，对吧？慢慢走，慢悠悠……,"Quite nice living life this way, don't you think? Slowly, we stroll. Slowly, we live.","Cuộc sống như vậy cũng không tệ, đúng không? Đi từ từ, chậm rãi..."
lang_multi_text.db,MultiText,EVENT_LGNDPW_21_1,{PlayerName}！,{PlayerName}!,{PlayerName}!
lang_multi_text.db,MultiText,EVENT_LGNDPW_21_2,你有灵感了吗？,Found any inspirations?,Bạn có cảm hứng chưa?
lang_multi_text.db,MultiText,EVENT_LGNDPW_21_3,我有灵感了！那个男生对残象的态度，让我想到了人与残象、声骸的关系。,"I did! The way that guy treated the TD made me think about the relationship between humans, TDs, and Echoes.",Tôi có cảm hứng rồi! Thái độ của chàng trai đó đối với Tàn Tượng làm tôi nghĩ đến mối quan hệ giữa con người với Tàn Tượng và Thanh Hài.
lang_multi_text.db,MultiText,EVENT_LGNDPW_21_4,在今州，人们畏惧、厌恶残象，因为它们是摧毁了家园的怪物。,"In Jinzhou, people fear and despise Tacet Discords because they have decimated countless homelands in the past.","Ở Kim Châu, mọi người sợ hãi, căm ghét Tàn Tượng, vì chúng là quái vật đã phá hủy nhà cửa quê hương."
