db_file,table_name,id,zh,en,vi
lang_multi_text.db,MultiText,SkillDescription_6500015_Description,{0}防御,{0} DEF,{0} Phòng Thủ
lang_multi_text.db,MultiText,SkillDescription_6500016_AttributeName,冷却时间,Cooldown,Thời Gian Hồi Chiêu
lang_multi_text.db,MultiText,SkillDescription_6500016_Description,{0}秒,{0}s,{0} giây
lang_multi_text.db,MultiText,SkillDescription_6500017_AttributeName,磐岩护壁减伤,Rocksteady Shield Damage Reduction,Giảm Sát Thương Hộ Bích Bàn Nham
lang_multi_text.db,MultiText,SkillDescription_6500018_Description,{0}防御,{0} DEF,{0} Phòng Thủ
lang_multi_text.db,MultiText,SkillDescription_6500019_AttributeName,回复生命值,HP recovery,Hồi HP
lang_multi_text.db,MultiText,SkillDescription_6500019_Description,{0}防御,{0} DEF,{0} Phòng Thủ
lang_multi_text.db,MultiText,SkillDescription_6500020_AttributeName,消耗共鸣能量,Resonance Cost,Tiêu Hao Năng Lượng Cộng Hưởng
lang_multi_text.db,MultiText,SkillDescription_6500021_AttributeName,冷却时间,Cooldown,Thời Gian Hồi Chiêu
lang_multi_text.db,MultiText,SkillDescription_6500021_Description,{0}秒,{0}s,{0} giây
lang_multi_text.db,MultiText,SkillDescription_6500022_AttributeName,回复协奏能量,Concerto Regen,Hồi Năng Lượng Hiệp Tấu
lang_multi_text.db,MultiText,SkillDescription_6500023_AttributeName,刚柔化势回复量,Resolving Caliber Healing,Lượng Hồi Phục Cương Nhu Hóa Thế
lang_multi_text.db,MultiText,SkillDescription_6500024_AttributeName,技能伤害,Skill DMG,Sát Thương Kỹ Năng
lang_multi_text.db,MultiText,SkillDescription_6500025_AttributeName,技能伤害,Skill DMG,Sát Thương Kỹ Năng
lang_multi_text.db,MultiText,SkillDescription_6500025_Description,{0}防御,{0} DEF,{0} Phòng Thủ
lang_multi_text.db,MultiText,SkillDescription_6500026_AttributeName,御反之隙第一段固定值护盾,Timed Counters Stage 1 Fixed Value Shield,Khiên Cố Định Ngự Phản Chi Khích Đoạn 1
lang_multi_text.db,MultiText,SkillDescription_6500027_AttributeName,御反之隙第二段固定值护盾,Timed Counters Stage 2 Fixed Value Shield,Khiên Cố Định Ngự Phản Chi Khích Đoạn 2
lang_multi_text.db,MultiText,SkillDescription_6500028_AttributeName,御反之隙第三段固定值护盾,Timed Counters Stage 3 Fixed Value Shield,Khiên Cố Định Ngự Phản Chi Khích Đoạn 3
