db_file,table_name,id,zh,en,vi
lang_generic_tips.db,GenericPrompt,64,已解锁新的档案内容,New file unlocked,Đã mở khóa nội dung hồ sơ mới
lang_generic_tips.db,GenericPrompt,65,限时完成多组射击训练,Complete multiple shooting practice in limited time.,Hoàn thành nhiều vòng luyện bắn trong thời gian giới hạn
lang_generic_tips.db,GenericPrompt,66,首次挑战该玩法成功,First-time Challenge Complete,Lần đầu hoàn thành thử thách này
lang_generic_tips.db,GenericPrompt,67,领取附件数量已超过背包上限,Your Backpack is full.,Số lượng vật phẩm đính kèm vượt quá giới hạn túi đồ
lang_generic_tips.db,GenericPrompt,68,邮件已删除,Mail deleted,Thư đã xóa
lang_generic_tips.db,GenericPrompt,69,领取成功,Rewards Claimed,Nhận thành công
lang_generic_tips.db,GenericPrompt,70,邮件已被撤回,Mails recalled,Thư đã bị thu hồi
lang_generic_tips.db,GenericPrompt,71,邮件已过期，无法领取附件,Rewards in expired mails cannot be claimed.,"Thư đã hết hạn, không thể nhận vật phẩm đính kèm"
lang_generic_tips.db,GenericPrompt,72,背包已满，物品已通过邮件发送,"Backpack full, rewards have been sent in mail.","Túi đồ đã đầy, vật phẩm đã được gửi qua thư"
lang_generic_tips.db,GenericPrompt,73,无法打开，需要金属钥匙,,"Không thể mở, cần chìa khóa kim loại"
lang_generic_tips.db,GenericPrompt,74,委托完成,Commission Complete,Ủy thác hoàn thành
lang_generic_tips.db,GenericPrompt,75,前往先行公约处领取奖励,Head to the Pioneer Association to claim your rewards,Đến Hiệp Ước Tiên Phong để nhận thưởng
lang_generic_tips.db,GenericPrompt,76,飞檐能力未解锁,Side Sprint Locked,Chưa mở khóa khả năng chạy tường
lang_generic_tips.db,GenericPrompt,77,请阅读并勾选同意下方协议，即可进入游戏。,Please read and click following agreement before you start the game.,Vui lòng đọc và đồng ý với các điều khoản bên dưới để vào trò chơi.
lang_generic_tips.db,GenericPrompt,78,最长为6个汉字或12个字符,Can type in at most 12 characters.,Tối đa 6 chữ Hán hoặc 12 ký tự
lang_generic_tips.db,GenericPrompt,79,请输入正确的鸣域特征码,,Vui lòng nhập đúng mã đặc trưng Minh Vực
lang_generic_tips.db,GenericPrompt,80,对方已在好友列表中,This Rover is in your Friend list,Người này đã có trong danh sách bạn bè
lang_generic_tips.db,GenericPrompt,81,对方不在好友列表中,This Rover is not in your Friend list.,Người này không có trong danh sách bạn bè
lang_generic_tips.db,GenericPrompt,82,申请记录不存在,Application record unfound.,Không tìm thấy lịch sử yêu cầu
lang_generic_tips.db,GenericPrompt,83,好友列表已满,Friend list is full,Danh sách bạn bè đã đầy
lang_generic_tips.db,GenericPrompt,84,申请方好友列表已满,Your friend list is full,Danh sách bạn bè của người gửi yêu cầu đã đầy
lang_generic_tips.db,GenericPrompt,85,接收方申请列表已满,This Rover's friend list is full.,Danh sách yêu cầu của người nhận đã đầy
lang_generic_tips.db,GenericPrompt,86,已发送好友申请,Friend application sent,Đã gửi yêu cầu kết bạn
lang_generic_tips.db,GenericPrompt,87,该玩家已在黑名单中,This Rover is in your Blocklist,Người chơi này đã nằm trong danh sách chặn
lang_generic_tips.db,GenericPrompt,88,该玩家未在黑名单,This Rover is not in your Blocklist,Người chơi này không nằm trong danh sách chặn
lang_generic_tips.db,GenericPrompt,89,黑名单已满,Blocklist is full,Danh sách chặn đã đầy
lang_generic_tips.db,GenericPrompt,90,已被对方加入黑名单,You've been added to this Rover's blocklist.,Bạn đã bị đối phương thêm vào danh sách chặn
lang_generic_tips.db,GenericPrompt,91,搜索对象不能是自己,You cannot search for yourself.,Không thể tìm kiếm chính mình
lang_generic_tips.db,GenericPrompt,92,对方已在好友申请列表中,This Rover is in your Friend Applications.,Đối phương đã có trong danh sách yêu cầu kết bạn
lang_generic_tips.db,GenericPrompt,93,已复制我的鸣域特征码,UID copied in clipboard.,Đã sao chép mã đặc trưng Minh Vực của tôi
lang_generic_tips.db,GenericPrompt,94,已将{0}加入黑名单,You've added {0} in blocklist,Đã thêm {0} vào danh sách chặn
lang_generic_tips.db,GenericPrompt,95,已将{0}移出黑名单,You've removed {0} from blocklist,Đã gỡ {0} khỏi danh sách chặn
lang_generic_tips.db,GenericPrompt,96,已达每日申请次数上限,You've reach the limit for daily application,Đã đạt giới hạn yêu cầu trong ngày
lang_generic_tips.db,GenericPrompt,97,已发送过好友申请,You've sent the application previously,Đã gửi yêu cầu kết bạn trước đó
lang_generic_tips.db,GenericPrompt,98,该玩家已与你解除好友关系,This Rover has remove you from Friend list,Người chơi này đã hủy kết bạn với bạn
lang_generic_tips.db,GenericPrompt,99,好友申请已失效,Friend application invalid,Yêu cầu kết bạn đã hết hiệu lực
lang_generic_tips.db,GenericPrompt,100,删除好友成功,Friend deleted,Đã xóa bạn bè thành công
lang_generic_tips.db,GenericPrompt,101,请先选择左侧格子,Please select the grid on the left.,Vui lòng chọn ô bên trái trước
lang_generic_tips.db,GenericPrompt,102,保存成功,Saved,Lưu thành công
lang_generic_tips.db,GenericPrompt,103,角色试用状态无法使用传送,Trial characters cannot be teleported,Không thể dịch chuyển khi đang dùng thử nhân vật
lang_generic_tips.db,GenericPrompt,104,角色试用状态无法进入声之领域,Trial characters cannot enter Ambience,Không thể vào Lĩnh Vực Âm Thanh khi đang dùng thử nhân vật
lang_generic_tips.db,GenericPrompt,105,角色试用状态无法进入联机模式,Trial characters cannot get in co-op.,Không thể vào chế độ nhiều người khi đang dùng thử nhân vật
lang_generic_tips.db,GenericPrompt,106,角色试用状态无法进行编队,Trial characters cannot be set in team,Không thể sắp xếp đội hình khi đang dùng thử nhân vật
lang_generic_tips.db,GenericPrompt,107,材料不足,Insufficient materials.,Không đủ nguyên liệu
lang_generic_tips.db,GenericPrompt,108,黑石币不足,Insufficient Tacetite,Không đủ Hắc Thạch Tệ
lang_generic_tips.db,GenericPrompt,109,已达到最大经验，无法继续添加,EXP Maxed,"Đã đạt kinh nghiệm tối đa, không thể thêm nữa"
lang_generic_tips.db,GenericPrompt,110,打开速度过快,Open too fast,Mở quá nhanh
lang_generic_tips.db,GenericPrompt,111,已掌握{0}的烹饪方法,You've master {0} cooking.,Đã nắm được cách nấu {0}
lang_generic_tips.db,GenericPrompt,112,数量不足,Insufficient amount,Không đủ số lượng
lang_generic_tips.db,GenericPrompt,113,材料不足,Insufficient materials.,Không đủ nguyên liệu
lang_generic_tips.db,GenericPrompt,114,请先放入食材,Please put in ingredients,Vui lòng cho nguyên liệu vào trước
lang_generic_tips.db,GenericPrompt,115,尚未达成熟练度条件,Upgrade requirement not complete.,Chưa đạt điều kiện thành thạo
lang_generic_tips.db,GenericPrompt,116,设置结果将于次日生效,Result will take effect in next day,Thiết lập sẽ có hiệu lực vào ngày hôm sau
lang_generic_tips.db,GenericPrompt,117,当前没有已完成任务可交付,No completed mission,Hiện không có nhiệm vụ đã hoàn thành để nộp
lang_generic_tips.db,GenericPrompt,118,每日任务已完成,Daily Commision Complete,Nhiệm vụ hàng ngày đã hoàn thành
