db_file,table_name,id,zh,en,vi
lang_multi_text.db,MultiText,GuideFocusNew_21221_Content,左右滑动卡牌可推进故事的发展,Continue the story by swiping the cards left or right.,Trượt thẻ bài sang trái phải để thúc đẩy diễn biến câu chuyện
lang_multi_text.db,MultiText,GuideFocusNew_21222_Content,左右滑动卡牌可推进故事的发展,Continue the story by swiping the cards left or right.,Trượt thẻ bài sang trái phải để thúc đẩy diễn biến câu chuyện
lang_multi_text.db,MultiText,GuideFocusNew_21223_Content,不同的选项会改变对应属性的数值,Different choices will change the corresponding stats value.,Các lựa chọn khác nhau sẽ thay đổi chỉ số thuộc tính tương ứng
lang_multi_text.db,MultiText,GuideFocusNew_21224_Content,不同的选项会改变对应属性的数值,Different choices will change the corresponding stats value.,Các lựa chọn khác nhau sẽ thay đổi chỉ số thuộc tính tương ứng
lang_multi_text.db,MultiText,GuideFocusNew_21225_Content,不同的选项会改变对应属性的数值,Different choices will change the corresponding stats value.,Các lựa chọn khác nhau sẽ thay đổi chỉ số thuộc tính tương ứng
lang_multi_text.db,MultiText,GuideFocusNew_21226_Content,不同的选项会改变对应属性的数值,Different choices will change the corresponding stats value.,Các lựa chọn khác nhau sẽ thay đổi chỉ số thuộc tính tương ứng
lang_multi_text.db,MultiText,GuideFocusNew_21227_Content,不同的选项会改变对应属性的数值,Different choices will change the corresponding stats value.,Các lựa chọn khác nhau sẽ thay đổi chỉ số thuộc tính tương ứng
lang_multi_text.db,MultiText,GuideFocusNew_21228_Content,不同的选项会改变对应属性的数值,Different choices will change the corresponding stats value.,Các lựa chọn khác nhau sẽ thay đổi chỉ số thuộc tính tương ứng
lang_multi_text.db,MultiText,GuideFocusNew_21229_Content,注意各个属性数值的平衡，任意属性归零意味着故事的结束,Remember to maintain a stats balance. The story ends if a stat drops to zero.,"Chú ý cân bằng các chỉ số thuộc tính, bất kỳ thuộc tính nào về 0 đồng nghĩa với câu chuyện kết thúc"
lang_multi_text.db,MultiText,GuideFocusNew_21230_Content,注意各个属性数值的平衡，任意属性归零意味着故事的结束,Remember to maintain a stats balance. The story ends if a stat drops to zero.,"Chú ý cân bằng các chỉ số thuộc tính, bất kỳ thuộc tính nào về 0 đồng nghĩa với câu chuyện kết thúc"
lang_multi_text.db,MultiText,GuideFocusNew_21231_Content,注意各个属性数值的平衡，任意属性归零意味着故事的结束,Remember to maintain a stats balance. The story ends if a stat drops to zero.,"Chú ý cân bằng các chỉ số thuộc tính, bất kỳ thuộc tính nào về 0 đồng nghĩa với câu chuyện kết thúc"
lang_multi_text.db,MultiText,GuideFocusNew_21232_Content,达成相应的目标后，即可完成故事章节,A story chapter is complete once the corresponding goals are met.,"Sau khi đạt được mục tiêu tương ứng, sẽ hoàn thành chương truyện"
lang_multi_text.db,MultiText,GuideFocusNew_21233_Content,达成相应的目标后，即可完成故事章节,A story chapter is complete once the corresponding goals are met.,"Sau khi đạt được mục tiêu tương ứng, sẽ hoàn thành chương truyện"
lang_multi_text.db,MultiText,GuideFocusNew_21234_Content,达成相应的目标后，即可完成故事章节,A story chapter is complete once the corresponding goals are met.,"Sau khi đạt được mục tiêu tương ứng, sẽ hoàn thành chương truyện"
lang_multi_text.db,MultiText,GuideFocusNew_21235_Content,可继续使用当前声骸，开启无尽挑战,You can continue using your current Echoes in Infinite Mode.,"Có thể tiếp tục sử dụng Thanh Hài hiện tại, mở khiêu chiến vô tận"
lang_multi_text.db,MultiText,GuideFocusNew_21236_Content,可继续使用当前声骸，开启无尽挑战,You can continue using your current Echoes in Infinite Mode.,"Có thể tiếp tục sử dụng Thanh Hài hiện tại, mở khiêu chiến vô tận"
lang_multi_text.db,MultiText,GuideFocusNew_21237_Content,可继续使用当前声骸，开启无尽挑战,You can continue using your current Echoes in Infinite Mode.,"Có thể tiếp tục sử dụng Thanh Hài hiện tại, mở khiêu chiến vô tận"
lang_multi_text.db,MultiText,GuideFocusNew_21238_Content,异梦声骸相比普通声骸，具有更强的能力,Dreamborne Echoes are more powerful than normal Echoes.,Thanh Hài Dị Mộng có năng lực mạnh hơn so với Thanh Hài thường
lang_multi_text.db,MultiText,GuideFocusNew_21239_Content,异梦声骸相比普通声骸，具有更强的能力,Dreamborne Echoes are more powerful than normal Echoes.,Thanh Hài Dị Mộng có năng lực mạnh hơn so với Thanh Hài thường
lang_multi_text.db,MultiText,GuideFocusNew_21240_Content,异梦声骸相比普通声骸，具有更强的能力,Dreamborne Echoes are more powerful than normal Echoes.,Thanh Hài Dị Mộng có năng lực mạnh hơn so với Thanh Hài thường
lang_multi_text.db,MultiText,GuideFocusNew_21241_Content,欢迎参加「潮蚀模拟」测试，此处可进入模拟关卡,"Thank you for joining the Tidal Defense Simulator. {Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} here to enter the stage.","Chào mừng tham gia thử nghiệm ""Mô Phỏng Triều Thực"", tại đây có thể vào ải mô phỏng"
lang_multi_text.db,MultiText,GuideFocusNew_21242_Content,欢迎参加「潮蚀模拟」测试，此处可进入模拟关卡,"Thank you for joining the Tidal Defense Simulator. {Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} here to enter the stage.","Chào mừng tham gia thử nghiệm ""Mô Phỏng Triều Thực"", tại đây có thể vào ải mô phỏng"
lang_multi_text.db,MultiText,GuideFocusNew_21243_Content,欢迎参加「潮蚀模拟」测试，此处可进入模拟关卡,"Thank you for joining the Tidal Defense Simulator. {Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} here to enter the stage.","Chào mừng tham gia thử nghiệm ""Mô Phỏng Triều Thực"", tại đây có thể vào ải mô phỏng"
lang_multi_text.db,MultiText,GuideFocusNew_21244_Content,在此处将显示关卡详情及地图,Stage details and the map are shown here.,Tại đây sẽ hiển thị chi tiết ải và bản đồ
lang_multi_text.db,MultiText,GuideFocusNew_21245_Content,在此处将显示关卡详情及地图,Stage details and the map are shown here.,Tại đây sẽ hiển thị chi tiết ải và bản đồ
lang_multi_text.db,MultiText,GuideFocusNew_21246_Content,在此处将显示关卡详情及地图,Stage details and the map are shown here.,Tại đây sẽ hiển thị chi tiết ải và bản đồ
lang_multi_text.db,MultiText,GuideFocusNew_21247_Content,完成挑战目标，可以获得对应的作战评级,Complete challenge goals to earn Rating Stars.,"Hoàn thành mục tiêu khiêu chiến, có thể nhận xếp hạng tác chiến tương ứng"
