db_file,table_name,id,zh,en,vi
lang_multi_text.db,MultiText,ErrorCode_ErrFurnitureSlotNotBelongToArea,槽位不属于区域,Slot does not belong to this area,Ô đặt không thuộc khu vực này
lang_multi_text.db,MultiText,ErrorCode_ErrFurnitureSlotNotSupportChildTag,当前槽位不支持家具tag,This slot does not support decoration tag,Ô đặt hiện tại không hỗ trợ tag nội thất
lang_multi_text.db,MultiText,ErrorCode_ErrFurnitureSlotNotSupportFurniture,当前槽位不支持家具,This slot does not support decoration tag,Ô đặt hiện tại không hỗ trợ nội thất này
lang_multi_text.db,MultiText,ErrorCode_ErrFurnitureSlotSubFurnitureCount,传来的子家具数量与槽位数量不等,Numbers of sub-decoration and slot not matched,Số lượng nội thất phụ gửi đến không khớp với số lượng ô đặt
lang_multi_text.db,MultiText,ErrorCode_ErrFurnitureUnloadSubFurnitureNotEmpty,卸载家具时子家具列表长度不为0,The sub-decoration list length shouldn't be 0 when removing the decoration,Danh sách nội thất phụ không được trống khi gỡ bỏ nội thất
lang_multi_text.db,MultiText,ErrorCode_ErrGetPsnUserPlayerErr_Text,找不到玩家信息,User information not found,Không tìm thấy thông tin người chơi
lang_multi_text.db,MultiText,ErrorCode_ErrGetSelfPsnOnlineId_Text,查询的对象不能是自己,You cannot search your own ID,Đối tượng truy vấn không thể là chính mình
lang_multi_text.db,MultiText,ErrorCode_ErrHostSceneBlockSplitFail_Text,对方场景资源未完全下载，无法联机,The player has not completed downloading assets for the current area. Unable to enter Co-op Mode.,"Tài nguyên cảnh của đối phương chưa tải xong, không thể liên kết"
lang_multi_text.db,MultiText,ErrorCode_ErrIllustratedNotUnlock_Text,声骸图鉴未解锁,Echo Gallery not available,Thư viện Thanh Hài chưa mở khóa
lang_multi_text.db,MultiText,ErrorCode_ErrIndexOutOfRange_Text,请求的节点下标越界,Requested node array index out of bounds,Chỉ số nút yêu cầu vượt quá giới hạn
lang_multi_text.db,MultiText,ErrorCode_ErrInstTeleportInstLimit,无法直接传送到另一个副本，请退出当前副本后再尝试。,Cannot fast travel to another challenge. Please exit and try again.,"Không thể dịch chuyển trực tiếp sang phó bản khác, vui lòng thoát phó bản hiện tại rồi thử lại."
lang_multi_text.db,MultiText,ErrorCode_ErrInteracTreeSuspend_Text,流程处于挂起状态，无法继续推进,"The process is suspended, unable to proceed.","Tiến trình đang ở trạng thái treo, không thể tiếp tục"
lang_multi_text.db,MultiText,ErrorCode_ErrLineCrossChallengeNotFound,关卡异常，请重试,Challenge error. Please try again.,"Ải bất thường, vui lòng thử lại"
lang_multi_text.db,MultiText,ErrorCode_ErrMobileSettingParamDuplicate,请求参数异常,Request parameter error.,Tham số yêu cầu bất thường
lang_multi_text.db,MultiText,ErrorCode_ErrMobileSettingRequestParam,请求参数异常,Request parameter error.,Tham số yêu cầu bất thường
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourActivityDataNotExist,玩家数据不存在,Player data does not exist,Dữ liệu người chơi không tồn tại
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourGetRewardStatusFail,无法获取领奖状态,Cannot get reward status,Không thể lấy trạng thái nhận thưởng
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourLevelInfoFailed,关卡打包失败,Failed to package stage,Đóng gói ải thất bại
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourLevelRewardIndexDuplicate,领奖下标重复,Reward array index repeated,Chỉ số nhận thưởng bị trùng lặp
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourLevelRewardIndexInvalid,请求领奖错误,Request reward error,Yêu cầu nhận thưởng bị lỗi
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourLevelRewardIndexLengthError,领奖数量与配置不符,Reward quantity does not match configuration,Số lượng nhận thưởng không khớp với cấu hình
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourPreLevelNotComplete,前一关卡未完成,Previous stage not completed,Chưa hoàn thành ải trước đó
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourRecordCfgNotExist,活动记录配置未知,Event record configuration unknown,Cấu hình ghi chép sự kiện không xác định
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourRewardCfgNotExist,奖励配置未知,Reward configuration unknown,Cấu hình phần thưởng không xác định
lang_multi_text.db,MultiText,ErrorCode_ErrMotorParkourRewardNotAvailable,领奖状态异常,Reward claiming status abnormal,Trạng thái nhận thưởng bất thường
lang_multi_text.db,MultiText,ErrorCode_ErrMultiModeCanNotRequest,联机无法进行请求,Unable to request in Co-Op Mode,Không thể gửi yêu cầu trong chế độ liên kết
lang_multi_text.db,MultiText,ErrorCode_ErrMusicNotUnlocked,留声机未解锁,Phonography locked,Máy Hát chưa mở khóa
lang_multi_text.db,MultiText,ErrorCode_ErrNotFurnitureSlotConfig,实体配置非槽位类型,Entity configuration is not a slot type,Cấu hình thực thể không phải loại ô đặt
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerBuffMax,词条选取达到上限,Buff selection limit reached,Lựa chọn hiệu quả đã đạt giới hạn
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerBuffNoMatch,关卡无法使用该增幅,This buff cannot be applied in this stage,Ải này không thể sử dụng tăng cường đó
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerBuffRepeat,增幅选取重复,Buff already selected,Lựa chọn tăng cường bị trùng lặp
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerCurCycleNoConf,当前周期配置找不到,Current cycle configuration not found,Không tìm thấy cấu hình chu kỳ hiện tại
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerCycleNoConf,周期配置找不到,Cycle configuration not found,Không tìm thấy cấu hình chu kỳ
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerCycleNoInTime,不在周期时间区间内,Not within cycle time range,Không nằm trong thời gian chu kỳ
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerCycleNoLevel,周期没有对应关卡,No stage for this cycle,Chu kỳ không có ải tương ứng
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerInstStateErr_Text,副本流程状态错误,Dungeon process status error,Trạng thái tiến trình phó bản bị lỗi
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerIsInChallenge,挑战进行中,Challenge in progress,Đang trong thử thách
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerIsNoChallenge,未在挑战中,Not in challenge,Không trong thử thách
lang_multi_text.db,MultiText,ErrorCode_ErrorNewTowerLevelIdNotMatch,关卡异常,Stage abnormal,Ải bất thường
